# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Measurement Data Fomat:
# Time [s]    Subject #    range [m]    bearing [rad] 
1288971842.218    9 	 5.521		 -0.274  
1288971842.218    14 	 2.137		 -0.077  
1288971842.455    25 	 2.674		 -0.194  
1288971842.455    14 	 2.138		 -0.077  
1288971842.697    9 	 5.521		 -0.276  
1288971842.697    14 	 2.138		 -0.077  
1288971842.937    18 	 5.632		 -0.471  
1288971842.937    9 	 5.521		 -0.274  
1288971842.937    25 	 2.674		 -0.194  
1288971842.937    14 	 2.138		 -0.077  
1288971843.175    9 	 5.521		 -0.274  
1288971843.175    14 	 2.138		 -0.077  
1288971843.414    25 	 2.674		 -0.194  
1288971843.414    14 	 2.138		 -0.077  
1288971843.664    18 	 5.632		 -0.471  
1288971843.664    9 	 5.521		 -0.274  
1288971843.664    25 	 2.673		 -0.194  
1288971843.664    14 	 2.136		 -0.077  
1288971843.909    9 	 5.521		 -0.274  
1288971843.910    14 	 2.139		 -0.077  
1288971844.144    9 	 5.521		 -0.275  
1288971844.144    14 	 2.136		 -0.077  
1288971844.378    9 	 5.521		 -0.274  
1288971844.378    14 	 2.136		 -0.077  
1288971844.614    9 	 5.521		 -0.276  
1288971844.614    14 	 2.138		 -0.077  
1288971844.852    9 	 5.521		 -0.274  
1288971844.852    14 	 2.136		 -0.077  
1288971845.087    9 	 5.521		 -0.275  
1288971845.087    14 	 2.138		 -0.077  
1288971845.328    9 	 5.521		 -0.275  
1288971845.328    14 	 2.136		 -0.077  
1288971845.559    9 	 5.521		 -0.274  
1288971845.559    14 	 2.137		 -0.077  
1288971845.792    14 	 2.136		 -0.077  
1288971846.026    9 	 5.521		 -0.274  
1288971846.026    14 	 2.139		 -0.077  
1288971846.258    9 	 5.521		 -0.275  
1288971846.258    14 	 2.138		 -0.077  
1288971846.493    25 	 2.674		 -0.194  
1288971846.493    14 	 2.136		 -0.077  
1288971846.759    9 	 5.521		 -0.274  
1288971846.759    14 	 2.137		 -0.077  
1288971846.991    14 	 2.138		 -0.077  
1288971847.228    9 	 5.521		 -0.271  
1288971847.228    14 	 2.138		 -0.077  
1288971847.460    9 	 5.521		 -0.275  
1288971847.460    14 	 2.137		 -0.077  
1288971847.696    25 	 2.674		 -0.194  
1288971847.696    14 	 2.138		 -0.077  
1288971847.932    9 	 5.521		 -0.273  
1288971847.932    14 	 2.138		 -0.077  
1288971848.166    9 	 5.521		 -0.274  
1288971848.166    14 	 2.138		 -0.077  
1288971848.401    9 	 5.521		 -0.275  
1288971848.401    14 	 2.138		 -0.077  
1288971848.632    9 	 5.521		 -0.274  
1288971848.632    14 	 2.136		 -0.077  
1288971848.869    9 	 5.521		 -0.274  
1288971848.869    14 	 2.139		 -0.077  
1288971849.101    9 	 5.521		 -0.274  
1288971849.101    14 	 2.138		 -0.077  
1288971849.336    9 	 5.521		 -0.274  
1288971849.336    14 	 2.139		 -0.077  
1288971849.568    25 	 2.675		 -0.194  
1288971849.568    14 	 2.138		 -0.077  
1288971849.800    25 	 2.676		 -0.194  
1288971849.800    14 	 2.138		 -0.077  
1288971850.037    14 	 2.137		 -0.077  
1288971850.271    25 	 2.675		 -0.194  
1288971850.271    14 	 2.139		 -0.077  
1288971850.505    9 	 5.521		 -0.274  
1288971850.505    14 	 2.137		 -0.077  
1288971850.743    9 	 5.521		 -0.272  
1288971850.743    14 	 2.138		 -0.077  
1288971850.974    25 	 2.676		 -0.194  
1288971850.974    14 	 2.138		 -0.077  
1288971851.211    9 	 5.521		 -0.274  
1288971851.211    14 	 2.137		 -0.077  
1288971851.443    9 	 5.521		 -0.274  
1288971851.443    14 	 2.137		 -0.077  
1288971851.679    14 	 2.138		 -0.077  
1288971851.912    9 	 5.521		 -0.276  
1288971851.912    14 	 2.138		 -0.077  
1288971852.146    9 	 5.521		 -0.274  
1288971852.146    14 	 2.137		 -0.077  
1288971852.378    9 	 5.521		 -0.275  
1288971852.378    14 	 2.136		 -0.077  
1288971852.612    9 	 5.521		 -0.274  
1288971852.612    14 	 2.138		 -0.077  
1288971852.845    25 	 2.675		 -0.194  
1288971852.845    14 	 2.138		 -0.077  
1288971853.079    25 	 2.678		 -0.194  
1288971853.079    14 	 2.138		 -0.077  
1288971853.313    9 	 5.521		 -0.274  
1288971853.313    14 	 2.137		 -0.077  
1288971853.547    9 	 5.521		 -0.274  
1288971853.547    14 	 2.137		 -0.078  
1288971853.783    9 	 5.521		 -0.274  
1288971853.783    14 	 2.136		 -0.078  
1288971854.019    9 	 5.521		 -0.274  
1288971854.019    14 	 2.138		 -0.077  
1288971854.251    9 	 5.521		 -0.275  
1288971854.251    14 	 2.139		 -0.080  
1288971854.488    9 	 5.521		 -0.274  
1288971854.488    14 	 2.139		 -0.078  
1288971854.722    9 	 5.521		 -0.276  
1288971854.722    14 	 2.138		 -0.077  
1288971854.956    9 	 5.521		 -0.274  
